"","level","stem"
"1","B1","abbieg"
"4","B1","abbild"
"5","A2","abe"
"6","B1","aben"
"7","A1","abend"
"45","A2","abendess"
"57","B1","abendzeit"
"58","B1","abentev"
"59","A1","aber"
"151","B1","abfahr"
"152","A1","abfahrt"
"158","B1","abfall"
"159","B1","abfalleim"
"160","A1","abflieg"
"161","A1","abflug"
"163","B1","abgas"
"164","A1","abgeb"
"171","B1","abgebog"
"172","B1","abgefahr"
"174","B1","abgegeb"
"175","B1","abgehang"
"176","B1","abgehob"
"177","B1","abgeholt"
"180","B1","abgelauf"
"181","B1","abgelehnt"
"182","B1","abgemacht"
"183","B1","abgenomm"
"184","B1","abgesagt"
"185","A2","abgeschloss"
"189","B1","abgeschrieb"
"190","B1","abgestimmt"
"191","B1","abgewasch"
"192","B1","abhang"
"194","B1","abheb"
"195","A1","abhol"
"205","B1","abholt"
"206","B1","abitur"
"208","B1","ablehn"
"209","B1","abmach"
"210","B1","abnehm"
"212","B1","abonnement"
"213","B1","abonni"
"214","B1","abonniert"
"216","B1","absag"
"217","B1","abschied"
"220","B1","abschliess"
"223","B1","abschluss"
"224","B1","abschnitt"
"225","B1","abschreib"
"226","A1","absend"
"231","B1","absenderin"
"232","B1","absicht"
"234","B1","absolut"
"236","B1","abstimm"
"237","B1","abteil"
"240","B1","abwart"
"242","B1","abwartin"
"244","B1","abwasch"
"245","B1","abwes"
"246","B1","abzuhol"
"247","B1","abzuschliess"
"248","A2","ach"
"252","A1","acht"
"279","B1","achtet"
"281","A1","achtung"
"297","B1","achtzig"
"298","A2","acrt"
"299","A2","adef"
"300","A1","adress"
"311","A2","ads"
"312","A2","aerab"
"313","A2","affenhsc"
"314","B1","afrika"
"315","A2","agata"
"316","A2","age"
"317","A2","agha"
"318","A2","aglich"
"319","A2","ahen"
"320","B1","ahnlich"
"324","A2","ahnung"
"328","B1","aktion"
"329","A2","aktiv"
"333","B1","aktivitat"
"334","A2","aktuel"
"335","B1","aktuell"
"338","B1","akzepti"
"340","B1","akzeptiert"
"342","B1","alarm"
"343","A2","ale"
"344","B1","alessandro"
"345","B1","alex"
"346","B1","alexand"
"347","B1","ali"
"348","B1","alkohol"
"350","B1","alkoholfrei"
"351","B1","alkoholsucht"
"352","B1","all"
"410","A1","allein"
"439","B1","allerb"
"440","B1","allerding"
"441","B1","allerschon"
"481","B1","allgemein"
"484","B1","allmah"
"485","B1","alltag"
"488","B1","alphabet"
"491","A2","alr"
"492","A1","als"
"589","A1","also"
"604","B1","alsob"
"605","A1","alt"
"633","B1","altbau"
"651","B1","altenheim"
"663","B1","alternativ"
"666","B1","altersheim"
"672","B1","altpapi"
"673","B1","amadeo"
"674","A2","amira"
"675","B1","amp"
"676","A2","ampel"
"685","B1","amt"
"686","B1","amusi"
"687","B1","amusiert"
"690","B1","analysi"
"691","B1","analysiert"
"693","B1","anbau"
"694","A1","anbiet"
"703","A2","and"
"730","B1","andererseit"
"755","B1","andert"
"758","B1","ander"
"759","B1","andreas"
"760","B1","anerkannt"
"761","B1","anerkenn"
"762","B1","aneta"
"763","A1","anfang"
"784","B1","angab"
"786","B1","ang"
"787","B1","angeb"
"788","A1","angebot"
"805","B1","angefang"
"807","B1","angegeb"
"808","B1","angehabt"
"809","B1","angehor"
"810","B1","angeklickt"
"811","B1","angekomm"
"814","B1","angekundigt"
"815","A2","angemacht"
"816","B1","angemeldet"
"819","B1","angenehm"
"823","B1","angenomm"
"824","A2","angeruf"
"834","B1","angesagt"
"835","B1","angeschafft"
"836","B1","angeschloss"
"837","B1","angeschnallt"
"838","B1","angeseh"
"839","B1","angesproch"
"840","B1","angestellt"
"844","B1","angestrengt"
"845","B1","angewendet"
"846","B1","angezeigt"
"847","B1","angezog"
"848","A2","angst"
"858","B1","angstlich"
"860","B1","anhab"
"861","B1","anhalt"
"862","A1","anklick"
"865","A2","ankomm"
"867","A1","ankreuz"
"872","B1","ankund"
"873","A1","ankunft"
"879","B1","anlag"
"880","B1","anlass"
"881","B1","anleit"
"883","A2","anmach"
"884","B1","anmeldefrist"
"885","A1","anmeld"
"910","A2","ann"
"911","B1","anna"
"912","B1","annah"
"913","B1","annehm"
"914","B1","annonc"
"916","A2","anns"
"917","A2","annseou"
"918","A2","annst"
"920","B1","anprobi"
"921","A2","anr"
"922","A1","anred"
"925","A1","anruf"
"932","A2","anrufbeantwort"
"950","B1","ans"
"956","B1","ansag"
"960","B1","anschaff"
"961","B1","anschliess"
"962","A1","anschluss"
"969","B1","anschnall"
"970","A2","anseh"
"975","B1","ansprech"
"976","B1","anspruch"
"977","B1","anstell"
"979","B1","anstreng"
"981","A2","anton"
"982","B1","antonio"
"983","B1","antrag"
"984","A1","antwort"
"992","B1","antwortbog"
"998","A2","antwortet"
"1002","B1","anwalt"
"1003","B1","anwaltin"
"1004","B1","anwend"
"1006","B1","anwes"
"1007","B1","anzahl"
"1008","A1","anzeig"
"1017","A1","anzieh"
"1022","B1","anzufang"
"1023","A2","anzug"
"1031","B1","anzuruf"
"1032","B1","anzuschnall"
"1033","A1","apartment"
"1035","A2","apetar"
"1036","A2","apfel"
"1045","A2","apfelbaum"
"1046","B1","apfelkuch"
"1047","A2","apfelsaft"
"1050","A2","apothek"
"1063","A2","apparat"
"1068","A1","appetit"
"1078","B1","aprikos"
"1080","B1","april"
"1081","B1","arabella"
"1082","A2","arb"
"1083","A1","arbeit"
"1217","B1","arbeiterin"
"1219","A1","arbeitet"
"1252","B1","arbeitnehm"
"1255","B1","arbeitsamt"
"1256","B1","arbeitsbeding"
"1257","B1","arbeitserlaubnis"
"1259","B1","arbeitskolleg"
"1260","A1","arbeitslos"
"1268","B1","arbeitsmarkt"
"1269","A1","arbeitsplatz"
"1272","B1","arbeitsstell"
"1273","B1","arbeitstag"
"1274","B1","arbeitstechn"
"1275","B1","arbeitsverhaltnis"
"1276","B1","arbeitszeit"
"1278","B1","architekt"
"1279","B1","architektin"
"1280","B1","arg"
"1286","A2","argerst"
"1287","A2","argert"
"1290","A2","ark"
"1291","A1","arm"
"1305","B1","art"
"1309","A2","artikel"
"1319","A2","arz"
"1320","A1","arzt"
"1362","B1","arztin"
"1364","B1","arztpraxis"
"1365","A2","arzttermin"
"1366","B1","arzu"
"1367","A2","asc"
"1368","A2","aspirin"
"1369","A2","ass"
"1370","A2","ast"
"1371","B1","asyl"
"1372","B1","atem"
"1373","A2","aterina"
"1374","B1","atlantis"
"1375","B1","atm"
"1377","B1","atmet"
"1379","A2","aua"
"1380","A1","auch"
"1472","A2","auer"
"1473","A2","auet"
"1474","A1","auf"
"1818","B1","aufenthalt"
"1821","B1","aufenthaltsraum"
"1822","A2","auff"
"1823","B1","auffall"
"1824","B1","aufford"
"1825","B1","aufforder"
"1826","B1","auffuhr"
"1827","A1","aufgab"
"1838","B1","aufgeb"
"1839","B1","aufgefall"
"1840","B1","aufgefordert"
"1841","B1","aufgefuhrt"
"1842","B1","aufgegeb"
"1843","B1","aufgehalt"
"1844","B1","aufgehob"
"1845","B1","aufgehort"
"1846","B1","aufgelad"
"1847","B1","aufgelost"
"1848","A2","aufgemacht"
"1849","B1","aufgenomm"
